questions,answers
asking good variety name mustard,"tm-2, tm-4 and varuna have been replied."
asking cultivation practice cauliflower,given in details about the cultivation practices of cauliflower.
asking control measure immature fruit drop problem coconut,"suggested to apply ecommended fertilizer like-urea@1.5 kilogram/plant,ssp@2.5 kilogram/plant,mop@1.75 kilogram/plant,borax@50gram/plant.fertilizer should be applied in two equal halves twice in a year to a trench of 10-12 centimeter depth,30 centimeter breadth with a radius of 1-1.75 meter  away from the main trunk."
asking manure fertilizer dose term per bigha land brinjal crop cultivation,"14, 41, 11 and 200 kilo grams of urea, single super phosphate, muriate of potash and farm yard manures respectively have been suggested as the manures and fertilizers dose of cabbage in terms of per bigha of land for brinjal crop cultivation.half of urea and full doses of others suggested to be applied as basal and the remaining half of urea to be top dressed at 30 days after planting i.e. during first earthing up."
asking control measure leaf eating caterpillar radish,'malathion 50 ec ' solution @ 2 milli litres per litre of water has been suggetsed to spray as the control measure against leaf eating caterpillars in radish.
asking feeding fish,suggested him to fed the fishes twice daily and to go for feeding tray for checking the feed consumption.
asking treatment cough cow,suggested to administer caflon powder @ 50 gm thrice daily along with gur for five days.
asking planting distance plant potato tuber,30 centi metre from row to row and 5 centi metre from tuber to tuber has been replied & advised.
asking procedure selection seedling case coconut,suggested to select one year old seedling and the seedling with early splitted leaf should be prefferd and also the seedling should have stout collar.
asking procedure field preparation cultivate brinjal crop,replied that the land should be prepared to a fine tilth and farm yard manure should be applied @ 200 kilo grams per bigha of land. also 'malathion 5 per cent' dust @ 3.3 kilo grams should be incorporated. advsied to apply lime in every 3 years @ 2.5 kilo grams per bigha of land depending upon the soil test result and liming should be done at least 30 days before planting.
asking kisan call centre purpose,"replied that this centre renders extension services in the field of agriculture, veterinary & fishery aspects and is accessible through toll free numbers 1551(landline) and 1800 180 1551( mobiles) from 6am-10pm throughout the year"
asking variety name knol khol,"suggested to grow vareity like-purple viena,white viena."
asking control measure earhead cutting caterpillar attack paddy field,suggested to spray chlorpyriphos 20 ec @ 2 mililitre / litre of water.
asking cultivation practice potato,given in details about the cultivation practices.
asking control measure bacterial wilt disease tomato,suggested to apply streptocyclin @ 2 200 gram / litre of water.
asking source information pure pig breed varities,"suggested to contact the farm manager , pig research station , rani."
asking fertilizer dos applied 10th year stage coconut tree along procedure application,"1500, 2500 and 1750 garms of urea,ssp and mop respectively, 25, 250 grams of borax and coconut special powder respectively(micro nutrient) along with 3 kg of fym has been suggested to apply in the trench method of application at a distance of 1-1.75 metres away from the trunk of the tree.suggested to cover by green leaves and then by top soil after application.urea,ssp and mop doses to be applied in two equal split doses (march-april)&(september-october)along with full doses of others suggested."
asking treatment mastitis cow,suggested to apply mastilep cream over the udder surface twice daily after cleaning the udder with luke warm water
asked present govt scheme,gave him in details.
asked know carp disease preventive measure,gave him in details.
asking control measure gundhi bug attack paddy field,suggested to apply malathion 5 % dust @3 kilogram / bigha and also suggested to go for light trap.
asking source information pure goat breed,"suggested to contact the farm manager ,goat research farm ,burnihat"
asking manure ferilizer dos term per bigha land potato crop cultivation,"19, 41, 12, 200 kilo grams of urea, ssp, mop and fym respectively has been suggested as t5e  manures and ferilizer doses in terms of per bigha of land for potato crop cultivation."
asking manure ferilizer dos term per bigha land cabbage crop cultivation,"25, 41, 13, 200 kilo grams of urea, ssp, mop and fym respectively has been suggested as the  manures and ferilizer doses in terms of per bigha of land for cabbage crop cultivation.also suggested that half of urea and remaining in full to be applied during final land preparation. other half of urea to be dressed at 30 days after 1st earthing up."
asking treatment diarrhoea cow,suggested to administer neblon powder @ 50 twice daily for five days.
asking treatment conjunctivitis cow,suggested to give ciplox eye drop @ 4 drops in each eye twice daily for five days.
asking treatment mastitis cow,suggested to apply mastilep  cream over the udder surface twice daily after cleaning the udder with luke warm water.
asking financial assistance dairy farming,suggested to contact with nearest s.b.i.branch for loans & finances .
asking fertlizer dos term per bigha land pea crop cultivation,"5, 38 and 100 kilo grams of urea, ssp and fym respcetively has been suggested in terms of per bigha of land for pea crop cultivation."
asking plant protection measure adopted late blight disease potato,"'indofil m-45' solution @ 2.5 grams per 1 litre of water has been suggested to spray on the crop at the following stages: 1) first at 30 days after transplanting, 2) second at 60 days after transplanting and 3) third at 90 days after transplanting as the plant protection measures to be adopted against late blight disease in tomato."
asking control measure leaf curl disease tomato,suggested to spray rogor 35 ec @ 2 mililitre /litre of water followed by waiting period for 5-7 days.
asking cultivation practice garlic,given in details about the cultivation practices of garlic.
asking treatment conjunctivitis goat,suggested to give ciplox eye drop @ 4 drops in each eye twice daily for five days.
aking treatment diarrhoea cow,suggested to administer neblon powder @ 50 gm twice daily for five days.
asking financial assistance dairy farming,suggested to contact with neatrest s.b.i.branch for loans & finances.
asked carp culture,gave im in details.
asked avail kcc loan,gave him i details.
asking control measure leaf eating caterpillar potato,'malathion 50 ec' solution @ 2 milli litres per 1 litre of water has been suggested to spray as the control measure against leaf eating caterpillars in potato..
asking manure fertilizer dosage applied term per tree arecanut 7th year stage,"198, 250, 233 and 8000 grams of urea, ssp, mop and fym has been suggested to apply in two equal split doses along with 25 grams of borax per application. to be applied once in march-april & the other part in sep-oct in the trench method of application."
asking control measure panama disease banana,suggested to drench the soil at the base with 'bavistin' solution @ 2 grams per 1 litre of water.
asking control measure panama disease banana,suggested to drench the soil around the base of the plant with 'blitox-50' solution @ 2grams per 1 litre of water.
asking hybridt varety rose,"aruna, bhim, ganga, pusa, sania, kiss of fire, jawahar, friendship have been replied."
asking control measure filed cricket cut worm poatao crop cultivation field,'malathion 5 per cent dust' @ 6 kilo grams per bigha of land has been suggested to apply  as the control measure against filed crickets and cut worm in poatao crop cultivation field.
asking fertilizer dos applied 6th year stage coconut tree along procedure application,"1500, 2500 and 1750 gms of urea,ssp and mop respectively, 25, 250 grams of borax and coconut special powder respectively(micro nutrient) along with 3 kg of fym has been suggested to apply in the trench method of application at a distance of 1-1.75 mtrs away from the trunk of the tree.suggested to cover by green leaves and then by top soil after application.urea,ssp and mop doses to be applied in two equal split doses (march-april)&(september-october)along with full doses of others suggested."
asking control measure leaf curl disease attack dolichos bean,suggested to spray rogor 35 ec @ 2 mililitre / litre of water followed by waiting period for 7-10 days.
asking control measure leaf eating caterpillar banana,'malathion 50 ec ' solution @ 2 milli litres per litre of water has been suggetsed to spray as the control measure against leaf eating caterpillars in banana.
asking control measure leaf eating caterpillar cauliflower,'malathion 50 ec' solution @ 1.5 milli litres per 1 litre of water has been suggested to spray on the crop.
asking crop booster name sprayed cabbage crop cultivation better yield,'green harvest' solution @ 2 gram per 1 litre of water has been suggested to spray on the crop.
asking control measure rice hispa paddy,'ekalux 25 ec' solution @ 3 miili litres per litre of water has been suggested to spray.
asking cultivation practice garlic,given in details about the cultivation practices.
asking fertilizer dos procedure application applied term tree arecanut 15th year stage age,"198, 250, 233 and 8000 grams of urea, ssp, mop and fym has been suggested to apply in two equal split doses along with 25 grams of borax per application. to be applied once in march-april & the other part in sep-oct in the trench method of application"
asking treatment low milk production,suggested to administeer ostovet liq.@ 50 ml twice daily .along with that administer vimeral liq.@ 5 ml twice daily.
asking hybrid rabi maize variety,"suggested about the hybrid rabi maize variety like-ganga 101,ganga-5,deccan hybrid etc."
asking control measureof earhead cutting caterpillar pest attack paddy field,suggested to spray ekalux @ 2 mililitre / litre of water.
asking treatment worm infestation pig,suggested to administer panacur @ 150 mg/30 kg body weight.along with that administer 5 ml twice daily.
askede carp hatchery management process,gave him in details.
asking treatment maggoted wound cow,suggested to spray the topicure spray over the affected area twice a day
asking treatment worm infestation pig,suggested to administer panacur 150 mg tab/30 kg body weight.along with that administer liv-52 vet @ 5 ml twice daily.
asking source good breed piglet,"suggested to contact  with base pig breeding farm,khanapara."
asking control measure control bacterial wilt disease brinjal,suggested to spray streptocyclin(streptomycin sulphate)@200 milligram/litre of water at 15 days interval.
asking control measure shoot borer lemon,'dimecron' solution @ 4 milli litres per 1 litre of water has been suggested to spray.
asked winter related disease fish,gave him in details.
asking cultivation practice mustard,given in details.
asking planting time rose,may-october has been replied as the planting time of rose.
asking fiancial assistance dairy farming,suggested to contact with s.b.i.barnch for loans & finances.
asking package practice chilli,given in details.
asking source information pure goat breed,"suggested to contact the farm manager ,goat research farm,burnihat."
asking use id number provided,explained him in details.
asking planting time ridge gourd,january to may have beenn replied as the planting time of ridge gourd.
asking treatment mastitis cow,suggested to apply the mastilep cream over udder twice a day after cleaning .
asking crop booster chemical name sprayed knolkhol crop cultivation better yield,'green harvest' solution @ 2 gram per 1 lite of water has been suggested to spray durinng fruit set.
asking manure fertilizer dosage term per bigha land cultivate potato crop,"19, 45, 12 and 200 kilo grams of urea, single super phosphate, muriate of potash and farm yard manures respectively has been replied and suggested as the manures and fertilizers dosages in terms of per bigha of land to cultivate brinjal crop."
asking control measure fruit shoot borer brinjal,'malathion 50 ec' solution @ 2 milli litres per 1 litre of water has been suggested to spray as the control measure against fruit and shoot borers in brinjal.
asking fertlizer dosage term per bigha land lentil crop cultivation,urea & ssp @ 4.5 & 30 respectively has been suggested without rhizobium culture and urea & ssp @ 3 & 30 respectively has been suggested with rhizobium culture for per bigha of land.
asking function biofungicide,"replied that biofungicides restrict the growth of wide range of plant pathogenic fungi which are responsible for most soil borne disease. it also acts as plant growth promotion, plant defense induction, compost decomposition, phosphate solublization."
asking source information pure pig breed varities,"suggested to contact the farm manager, pig research farm ,rani."
asking cultivation practice cucumber,given in details.
asking cultivation practice potato,given in details.
asking appropriate time harvest mustard,replied that the crop becomes ready for harvest when 75-80% siliquae turns yellow nad the crop is harvested by pulling out whole plants or cutting by sickle.
asked,gave
asking treatment maggoted wound cow,suggested to apply the topicure spray over the affected area twice a day after cleaning.
asking source information pure goat breed,"suggested to contact the farm manager,goat research farm ,burnihat."
asking source good breed goat,suggested to contact with byrnihut goat research station for quality breed goat.
asked carp culture practice assam,gave him in details.
asking hybrid variety name rice cultivated boro season,"arize-6444, pac-832, krh-1 and krh-2 have been replied as some hybrid variety names of rice to be cultivated this boro season."
asking treatment mastitis cow,suggested to apply the mastilep cream over udder twice a day .
asking good variety name black pepper recommended cultivation region,"panniyur-1 (hybrid variety), kaluvalli, balankotta, karimunda, kottandan and arkulam munda have been replied as some good variety names of black pepper recommended for cultivation in his region."
asking manure ferilizer dos term per bigha land cabbage crop cultivation,"25, 41, 13, 200 kilo grams of urea, ssp, mop and fym respectively has been suggested as the  manures and ferilizer doses in terms of per bigha of land for cabbage crop cultivation.also suggested that half of urea and remaining in full to be applied during final land preparation. other half of urea to be dressed at 30 days after 1st earthing up."
asking fertilizer requirement term per bigha land sugarcane crop cultivation,"40, 60 and 15 kilo grams of urea, ssp and mop respectively has been suggested or alternatively 34, 20 and 15 kilo grams of urea, dap and mop respectively has been suggested as the fertilizer requirements in terms of per bigha of land for sugarcane crop cultivation."
asking control measure phytopthora leaf rot betel vine,suggested to go for four drenches and eight sprays of bordeaux mixture @ 1% and 0.5% respectively at monthly and 15 days interval and should start from june to september
asking crop booster name sprayed pumpkin crop cultivation better yield,'green harvest' solution @ 1 gram per 2 litres of water has been suggested to spray during flowering and again @ 2 gram per 2 litres of water of the same has been suggested to spray during fruit set.
asking control measure field cricckets cut worm potato crop cultivation filed,'malathion 5% dust' @ 6 kilo grams for per 1 bigha of land has been suggested to apply.
asking package practice boro rice assam,explained in details & recommanded hybrid variety
asking treatment bloat cow,suggested to administer afanil liq @ 100 ml at a time and repeat the same dose after 6 hours.
asked pond constuction management carp cultue,gave hi in details.
asking package practice okra,given in details about the package of practice.
asking late variety name cabbage recommended cultivation,drum head and eclipse drum head has been suggested.
asking manure ferilizer dos term per bigha land late variety cabbage crop cultivation,"25, 41, 13, 200 kilo grams of urea, ssp, mop and fym respectively has been suggested as the  manures and ferilizer doses in terms of per bigha of land for cabbage crop cultivation.also suggested that half of urea and remaining in full to be applied during final land preparation. other half of urea to be dressed at 30 days after 1st earthing up."
asking cultivation practice anthurium flower,given in details about the package of practices.
asking recommended fertilizer dose mustard,"suggested that the recommended fertilizer dose is like-urea @ 18 kilogram / bigha,ssp @ 27 kilogram / bigha,mop @ 3 kilogram / bigha,compost @ 2-3 quintal / bigha."
asking control measure leaf curl disease chilli,suggested to spray rogor 35 ec @ 2 mililitre / litre of water followed by waiting period 10-12.
asking control measure late blight disease attack potato,suggested to apply dithane m-45@2.5gram/liter of water alternating with ridomil mz-72@2gram/liter of water at 7-10 days interval
asking kisan call centre,elaborated in details.
asking late variety cauliflower,"suggested to go for snowball-16, pusa snowball & k-1 & explained in details about package of pracice for the same"
asking phone number sird located khanapara assam,"0361- 2335154 & 2331663 have been provided as the phone numbers of sird, located at khanapara, assam."
asking control measure leaf spot turmeric crop,'thiram' solution @ 2 milli litres per 1 litre of water has been suggetsed to spray as the control measure against leaf spots in turmeric crop.
asking cultivation practice garlic,given in details
asking age castration period pig,suggested to  the age of castration period of a pig is 2-3 month of age.
asking control measure fungal wilt potato,recommended to spray captan @ 3gm/lit water till the soil gets wet.
asking treatment wound cow,suggested to clean the wound with normal saline and then spray topicure spray over the affected area twice daily.
asking fruit scaring beetle banana,recommended to spray 0.1 % malathion 50 ec
asking crop booster cauliflower,suggested to apply borax 1 kg/bigha and spray green harvest @ 1gm/lit during flowering and 2gm/lit during emmergence of curds.
asking control measure late blight disease potato,suggested to apply dithane m-45 @ 2 gram / litre of water.
asking name hybrid variety maize,recommended varieties like ganga 5 and hi-starch
asking leaf eating insectpest cabbage,suggested to spray malathion 50ec @ 1.5gm/lit water
asking bacterial wilt potato control measure,suggested to spray 1gm asaftida + 5gm termeric powder/10lit water
asking control measure late blight disease attack potato,suggested to apply mancozeb @ 2 gram / litre of water at 10-12 days interval .
asking cultivation banana,given in details about the package of practice
asking cultivation practice marigold,explain in details.
asking age castration period calf,suggested  to the age of castration period of calf is 2-3 month of age.
asking treatment diarrhoea goat,suggested to administer neblon pow. @2-3 tsf orally twice a day
asking treatment mastitis cow,suggested to apply the mastilep cream over the affected udder twice a day after cleaning.
asking age castration period dog,suggested that the age of castration period of a dog  is 2-3 month of age.
asking control measure flower drop regard broadbutter bean crop cultivation,suggested to spray 'borax' solution @ 2 gram per 1 litre of water around the base of the plant followed by spraying of 'green harvest' solution @ 2 gram per 1 litre of water on the standing vine.
asking control measure gaainst leaf spot ginger,'thidane' solution @ 2 milli litres per 1 litre of water has been suggested to spray on the crop.
asking get brine shrimp guwahati feeding discus fry,given him the detail information regarding brine shrimp and also the place.
asking control measure flower drop pomegranate,'borax' solution @ 2 gram per 1 litre of water has been suggested to spray and thereby drench at the base of the plant as the control measure against flower drop in pomegranate.
asking variety okra,"suggested to grow variety like-arka anamika,prabhani kranti etc."
asking cultivation practice garlic,given in details.
asking eliminate bitter quality fruit ridge gourd,suggested to treat the seeds with 80 ppm succinic acid followed by two sprays one at five leaf stage and another at first pistillate flowering stage
asking treatment mastitis cow,suggested to mastilep cream over the udder surface twice daily after cleaning the udder with luke warm water.
asking treatment ofwound cow,suggested to clean the wound with normal saline and then spray topicure spray over the affected area twice daily.
asking treatment diarrhoea cow,suggested to administer neblon powder @ 50 gm twice daily for five days.
asking variety ridge gourd,recommended varieties like pusa nasdur/aauj-2/aauc-3.
asking control measure field cricket cut worm potato,'malathion 5 % dust' @ 6 kilo grams per 1 bigha of land has been suggested to apply.
asking ge castration period dog,suggested to the age of castration period of a dog is 2-3 month of age.
asking cultivation practice boro rice,given in details.
asking planting method areca nut,given in details about the planting method.
asking package practice betel vine,recommended to get cultivars like assamiya pan/khasi pan/garo pan and explained in details about the package of practice of the same.
asking procedure along time application fertilizer main filed cultivation boro rice regard marshy area,"replied that in marshy areas, whole of single super phosphate and muriate of potash is to be applied and entire quantity of urea is to be top dressed after 21-25 days of transplanting as the procedure along with the time of application of fertilizers in the main filed for cultivation of boro rice."
aksed culture procedure composite fish culture,given in detail about the culture practices of integrated fish farming.
aksed cultivation practice composite fish culture,given in detail about the cultivation practices of composite fish culture.
asking control measure powdery mildew disease ridge gourd,suggested to apply sulfex @ 2 gram / litre of water.
asking manure fertilizer dos requirement seed bed 10 metre length 125 metre width raise seedling boro rice,"20-30 kilo grams of cowdung/compost, 40 grams of urea, 80 grams of single super phosphate and 40 grams of muriate of potash are to be applied and mixed well with the soil has been replied as the manures and fertilizer doses requirement for a seed bed of 10 metre in length & 1.25 metre in width to raise seedlings of boro rice."
asking manure fertilizer dos requirement cultivate ridge gourd land 1 bigha,"5, 25, 7 and 200 kilo grams of urea, single super phosphate, muriate of potash and farm yard manure respectively have been suggested as the manures and fertilizer doses requirement to cultivate ridge gourd in a land of 1 bigha."
asking control measure rhinoceros beetle pest attack coconut,suggested to apply malathion 5 % dust @ 100 gram mix along with equal quantity of sand.
asking different variety brinjal,"suggested the different varieties like pusa purple kranti, pusa purple long,pusa purple cluster,barbengena,jc-i,etc"
asking aboutlate blight control measure,suggested to spray indofil m-45 @ 2.5gm/lit at 7 days intervals
asking control measure fungal wilt brinjal,suggested to spray captan @ 3gm/lit water till the soil gets wet.
asking package package practice chilli,"recommended varieties like pusa jwala, suryamukhi and explained in details about the package of the same."
asked eu disease,gave him in details.
asking control measure fruit shoot borerin brinjal,suggested to spray desis2.4ec @1mlit/lit of water or malathion 50ec @2mlit/lit of water against fruit and shoot borerin brinjal.
asking planting time gerbera,suggested as september-octover is the best timing for gerbera .
aksed total fish specie wise needed single stocking single harvesting one hectare,"given as silver carp: 900, catla: 1500, rohu: 1200, grass carp: 600, mrigal: 1200, common carp: 600."
asking control measure bacterial wilt brinjal,'streptomycin' or 'plantomycin' or 'agrimycin' solution @ 1 gram per 10 litres of water has been suggetsed to spray on the crop and to drench the soil by spraying at and around the base of the plant with a mixture solution of 1 gram of asafoetida + 5 grams of turmeric powder in 10 litres of water.
asking control measure aphid potato,suggested to spray malathion 50 ec 2.5/lit of water.
asking control measure damping disease tomato,suggested to apply captan @ 2 gram / litre of water at 7-10 days interval
asking cultivation practice gladiolus,given in details.
asking age castrtion period dog,suggested that the age of castrtion period of  dog is 2-3 month of age.
asking treatment mastitis cow,suggested to apply the mastilep cream over the udder twice a day after cleaning.
3asking control measure damping disease tomato,suggested to apply captan @ 2 gram / litre of water at 7-10 days interval
asking manure fertilizer dos requirement term per bearing tree mango application,"800, 660, 665 and 10000 grams of urea, ssp, mop and fym have been suggested along with 50 grams of borax to be applied as per application twice in a year in the trench method of application. once in march-april and the other dose in the month of september-october."
asking control measure cabbage looper pest attack cabbage,suggested to spray chlorpyriphos 20 ec @ 2 mililitre / litre of water.
asking stage fertilizer application main field case arize 6444 variety cultivate boro rice,"basal application of 1.5, 12, 6.5 and 6.5 kilo grams of urea, dap, mop and zinc sulphate at the time of final land preparation has been replied. again at the age of 3 weeks after transplanting 6 kg of urea to be top dressed, at 6 weeks after transplanting 7 kg of urea to be top dressed and at 8 weeks after transplanting 4.5 kg of urea and 2.5 kg of mop are to be top dressed."
asking crop booster name sprayed paddy crop cultivation better yield,'green harvest' solution @ 2 grams per 1 litre of water has been suggested to spray on the standing crop just before the booting stages.
aksed fish cum poultry farming,given in detail about the fish cum poultry farming.
asking control measure control trunk borer pest attack lemon,suggested that propylactic smearing of monocrotophos with lime and water(1:1:25)should be applied up to one metre from the base of the tree during march/april which prevents the adult from laying egg. and also the hole should be plugged with cotton/cloths soaked in insecticides like dimecron 5 ml/ litre of water and then plasterd with mud to have an airtight condition
asking control measure fruit rot disease bottle gourd,suggested to apply mancozeb @ 2 gram litre of water.
asking give feeding also manuraing,"suggested him to give feed twice in a day during culture with respect to the health of the fish, soil and water quaity parameters and also suggested him to use cowdung which should be fermented before application and  quick lime @200kg/ha."
asking crop booster name sprayed brinjal crop cultivation field,'green harvest' solution @ 2 grams per 1 litre of water has been suggested to spray.
asked control measure fruit rotting arecanut,suggested as to spray 1%bordeaux mixture after cleaning the affected portion.
asked different loan given farmer,given in details.
aksed poultry cum fish farming,given in detail about the poultry cum fish farming.
asking avail kisan credit card facility,"suggested to contact with nearest nationalized bank,agriculture field officer/marketing and recovery officer located in his area."
asking control measure control bacterial wilt disease tomato,suggested to spray streptocyclin (streptomycin sulphate)@200 miligram/liter of water at 15 days interval
asking control measure ganoderma wilt coconut,"suggested that spread of the disease can be checked by isolating the diseased plants from surrounding healthy plants by digging trenches all around  and drenching with captan @  2 3 gram / litre of water in the basin,apply neem cake @ 3 kilogram/ plant per year"
asking control measure fruit borer pest attack brinjal,suggested to apply malathion 50ec @ 2 mililitre / litre of water.
asking field preparation method rice,suggested to prepare the land by 3-4 ploughings  followed by laddering.laddering is tobe done properly to retain water uniformly in the field.fym should be applied during initial field preparation
asking control measure cut worm pest attack brinjal,suggested to apply furadon 3g @ 3 gram / plant in ring method.
asking control measure late blight disease tomato,suggested to apply mancozeb @ 2 gram / litre of water.
asking control measure stem canker maize,suggested to apply validamycin(sheatmar) @ 1 ml/ litre of water at first appearance of symptoms followed by another spray after 15 days.the next best fungicide is carbendazim @ 1 gram / litre of water
asked fertiliser dos coconut 4th year,"recomended the dose of urea,ssp, and mop 21.2kg,2kg,1.4kg respectively along with borax 25gm in ring method."
asked control measure bunchy top banana,suggested to spray rogor 0r dimacron @1 mlit/lit of water.
asking control measure downy mildew disease cucumber,suggested to apply mancozeb @ 2 gram / litre of water.
asking cultivation practice boro rice,given in details about the package of practices of boro rice.
asking control measure root rot cow pea,suggested to apply 'bavistin' solution @ 2 gram per 1 litre of water in the affected areas.
asking control measure bacterial wilt brinjal,suggested to spray mixture of 1gm aasaftida + 5 gm termeric powder/ 10 lits. water till the soil gets wet.
asking standard clone name tea plantation,"suggested about the standard clone like-tv1, tv20, tv24, tv27, tv28"
asking variety brinjal,"suggested to grow variety like-pusa purple kranti, pusa purple long,pusa purple cluster,pusa purple round,pusa bhairav,arka navneet etc."
asked spacing seed rate radish,suggested the seed rate as 1.25 kgram/bigha and spacing as 20cm x10cm is needed for radish.
asking storage method potato,given in details about storage of potato.
asking control measure fruit rot pumpkin,suggested to spray diathane m 45 @2gm/lit of water against fruit rot in pumpkin.
asking control measure bacterial spot,suggested to spray streptomycine@ (1.0%) along with bordeaux (0.5%) @ 20 days interval after initiation f the disease.
asking spacing fertilizer dose apllication,suggested spacing of 1 x 1 m & fertilizer dose of npk @ 5:25:7 and explained in details about the split doses to be followed.
asking package practice cucumber,"recommended varieties like chinese green, apple cucumber, pusa saniyang and explained in details about the package of practice of the same."
asking control measure fungal wilt brinjal,suggested to spray captan @ 3gm/lit water till the soil gets wet.
asking control measure root rot disease okra,suggested to apply captaf @ 2 gram / litre of water
asking treatment mastitis cow,suggested to apply mastillep cream over the udder surface twice daily after cleaning the udder with luke warm water.
asked fertiliser dos coconut,given in details.
asked different variety gerbera,"suggested different varieties like red gem, orange green, yellow queen,clasic beauty, etc"
asking control measure fungal wilt brinjal,suggested to drench the soil at and around the base of the plant with 'captaf' solution @ 3 grams per 1 litre of water.
asking control measure fruit rot pumpkin,suggested to spray 'dithane-z-78' solution @ 3 grams per 1 litre of water as the control measure against fruit rot in pumpkin.
asking control measure fungal wilt tomato,suggested to drench the soil at and around the base of the plant with 'captaf' solution @ 3 grams per 1 litre of water.volume of mixture solution suggested for application per plant is 500 milli litres of mixture solution.
asking control measure fruit borer brinjal,'malathion 50 ec' solution @ 2 milli litrees per 1 litre of water has been suggested to spray.
asking planting time planting time litchi,august to september has been suggested.
asking somee variety name litchi,"muzaffapur, dehradun, kelkatta, red scented, seedless have been suggested."
asking vaccinationn scheduled virall disease chicken,explained in details.
asking thje source information pure hamshire breed pig,"suggested to contact the farm manager, pig research station , rani."
asking treatment milk fever cow,suggested to contact the nearest vety. doctor immediately .
asking control measure fungal wilt tomato,suggested to drench the soil at and around the base of the plant with 'captaf' solution @ 3 grams per 1 litre of water.
asking carrot variety,"suggested about the variety like-nantes, pusa kesar etc"
asking type soil suitable okra crop cultivation assam condition,ereplied that well drained sandy loam to clay loam rich in organic matter is suitable for okra crop cultivation under assam condition.
aking control measure oof ant,suggested to aplly malathion 5% dust 200 gm and explained in details about the process of application.
asking recommended fertilizer dose maize,"suggested that the recommended fertilizer dose is like-urea@ 18 kilogram / bigha, ssp @ 33 kilogram / bigha, mop @ 9 kilogram / bigh, compost @ 2-3 quintal / bigha."
asking financial assistance dairy farming,"suggested to contact with nearest nnationalised bank for loans & finances.,"
asking treatment mastitis cow,suggested to mastilep cream over the udder surface twice daily after cleaning the udder with luke warm water.
asking treatment mastitis cow,suggested to apply mastilep cream over the udder surface twice daily after cleaning teh udder with luke warm water.
asking control measure anthracnose disease chilli,'dithane m-45' or 'captaf' solution @ 2 grams per 1 litre of water has been suggested to spary on the crop
asking avail kisan credit card,replied that he should approach any nearset nationalized bank of his locality through the village level extension worker and the district agricultural officer of his district and to meet the marketring & recovery officer loan section with all relevant documents of his land and to have other details from him
asking control measure anthracnose disease chilli,suggested to apply blitox-50 @ 2 gram/ litre of water.
asking plant protection measure furit borer brinjal,advised to apply furadon 3g @ 2.5 grams per plant and at the stage of 20 days after transplanting in the main field. also advised to grow garlic in between or as a boarder crop for lesser pest attack in brinjal crop cultivation
asking control measure bacterial wilt chilli,suggested to spray mixture of 1gm hing + 5gm teermeric/10lits. of water till the soil gets wet.
asking control measure fruit borer ridge gourd,suggested to spray malathion 50 ec @ 2mlit/lit of water .
asking control measure flower drop orange,"suggested to spray 2,4-d @ 10ppm twice in orange against flower drop."
asking fertilizer requirement term per bigha land sugarcane crop cultivation,"40, 60 and 15 kilo grams of urea, ssp and mop respectively has been suggested or alternatively 34, 20 and 15 kilo grams of urea dap and mop respectively has been suggested as the fertilizer requirements in terms of per bigha of land for sugarcane crop cultivation"
asking planting time mango assam condition,april- september has been replied.
asking treatment retaintion placenta cow,suggested to administer exaper liq. @ 100 ml twice on the first day and repeat the same dose once daily for next three consecutive days.
asking treeatment worm infestation goat,suggested to administer panacur 150 mg tab @ 1 tab/30 kg body weight.along with that administer liv-52 vet @ 5 ml twice daily.
asking treatment diarrhoea cow,suggested to administer neblon powder @ 50 gm tice daily for fivee days.
asking control measure control aphid infestation mustard,suggested to spray malathion 50ec@2mililiter/liter of water.
asking treatment cough cow,suggested to administer caflon powder @ 50 gm thrice daily alonng with gur for five days.
asking control measure blossom end rot tomato,"suggested to maintain soil ph around 6.5 by liming and avoid water stress and also foliar application of calcium chloride @ 5 gram / litre of water at the time of fruit development and also suggested to apply urea instead of ammonium sulphate,as a source of nitrogen."
asking control measure flower drop cucumber,suggested to drench the soil around the root portion with 'borax' solution @ 2 grams per 1 litre of water has been suggested to spray.
asking control measure fruit rot bottle gourd,'dithane-z-78' solution @ 3 grams per 1 litre of water has been suggested to spray.
asking treatment retaintion placenta cow,suggested to administer exaper liq. @ 100 ml twice on the first day and repeat the same dose once daily for next three cnsecutivee days.
asked different cultural practice boro rice,given in details.
asking different variety okra,"suggested as pusa shavni, arka anamika, prabhani kanti,etc."
aksed composite fish farming,given in detail about the composite fish farming.
asked carp culture,gave him in detils
asking aboout treatment6 oof wworms infstationj goat,suggested to administer panacur 150 mg @ 1 tab/30 kg boy weight.
asking treatment dairrhoea cow,suggested to administer neblon powder @ 50 gm twice daily for five days.
asking control measure cabbage looper pest attack cabbage,suggested to apply malathion 50 ec  @ 2 mililitre / litre of water.
asking control measure bacterial wilt capsicum,suggested to spray mixture of 1gm hing + 5gm termaric/ 10 lits. of water till the soil gets wet.
asking control measure fruit fly bitter gourd,suggested to spray malathion 50 ec @ 2ml/lit.
asking control measure fruit fly,suggeste to spray malathion 50 ec @ 2ml/lit. water
asking rose seed availability kamrup,reffered to kahikusi horticulture research station for details.
asking aboout control measure fruit fly,suggested to spray malathion 50 ec @ 2ml/lit water
asking control measure bud rot disease coconut,suggested to apply 1 % bordeaux mixture.
assking soing season bottle gourd,"suggested as feb-mar,june-july, and oct-nov are the best soing time for bottle gourd."
